getAllFieldsForSObject.cls

================================

//for the Account object, you can replact that with any object you have, standard or custom
Schema.DescribeSObjectResult a_desc = Account.sObjectType.getDescribe(); 
Map<String, Schema.SObjectField> a_fields = a_desc.fields.getMap();

for(Schema.sObjectField fld:a_fields.values()){ 
     System.debug(fld);
}


================================

31.0 APEX_CODE,DEBUG;APEX_PROFILING,DEBUG;CALLOUT,INFO;DB,INFO;VALIDATION,INFO;WORKFLOW,INFO
Execute Anonymous: //for the Account object, you can replact that with any object you have, standard or custom
Execute Anonymous: Schema.DescribeSObjectResult a_desc = Account.sObjectType.getDescribe(); 
Execute Anonymous: Map<String, Schema.SObjectField> a_fields = a_desc.fields.getMap();
Execute Anonymous: 
Execute Anonymous: for(Schema.sObjectField fld:a_fields.values()){ 
Execute Anonymous:      System.debug(fld);
Execute Anonymous: }
13:58:10.072 (72831994)|USER_DEBUG|[6]|DEBUG|Salutation_Formal__c
13:58:10.072 (72878358)|USER_DEBUG|[6]|DEBUG|YTD_Combined_Credit_Amount__c
13:58:10.072 (72922375)|USER_DEBUG|[6]|DEBUG|BillingStreet
13:58:10.072 (72968325)|USER_DEBUG|[6]|DEBUG|Active__c
13:58:10.073 (73014501)|USER_DEBUG|[6]|DEBUG|Lifetime_Soft_Credit_Amount__c
13:58:10.073 (73062106)|USER_DEBUG|[6]|DEBUG|Last_Year_Combined_Credit_Count__c
13:58:10.073 (73109025)|USER_DEBUG|[6]|DEBUG|Active_Sustainer__c
13:58:10.073 (73155270)|USER_DEBUG|[6]|DEBUG|Assets__c
13:58:10.073 (73201388)|USER_DEBUG|[6]|DEBUG|Largest_Gift_Date__c
13:58:10.073 (73247360)|USER_DEBUG|[6]|DEBUG|Rating
13:58:10.880 (73313162)|CUMULATIVE_LIMIT_USAGE
13:58:10.880|LIMIT_USAGE_FOR_NS|(default)|
  Number of SOQL queries: 0 out of 100
  Number of query rows: 0 out of 50000
  Number of SOSL queries: 0 out of 20
  Number of DML statements: 0 out of 150
  Number of DML rows: 0 out of 10000
  Maximum CPU time: 0 out of 10000
  Maximum heap size: 0 out of 6000000
  Number of callouts: 0 out of 100
  Number of Email Invocations: 0 out of 10
  Number of future calls: 0 out of 50
  Number of queueable jobs added to the queue: 0 out of 50
  Number of Mobile Apex push calls: 0 out of 10

13:58:10.880|CUMULATIVE_LIMIT_USAGE_END

13:58:10.073 (73338253)|CODE_UNIT_FINISHED|execute_anonymous_apex
13:58:10.074 (74845025)|EXECUTION_FINISHED
